"rank","itemUrl","itemTitle","author","description","genres","genrecount"
"24","/book/show/865.The_Alchemist","The Alchemist","Paulo Coelho;Alan R. Clarke","Paulo Coelho's enchanting novel has inspired a devoted following around the world. This story, dazzling in its powerful simplicity and inspiring wisdom, is about an Andalusian shepherd boy named Santiago who travels from his homeland in Spain to the Egyptian desert in search of a treasure buried in the Pyramids. Along the way he meets a Gypsy woman, a man who calls himself
  Paulo Coelho's enchanting novel has inspired a devoted following around the world. This story, dazzling in its powerful simplicity and inspiring wisdom, is about an Andalusian shepherd boy named Santiago who travels from his homeland in Spain to the Egyptian desert in search of a treasure buried in the Pyramids. Along the way he meets a Gypsy woman, a man who calls himself king, and an alchemist, all of whom point Santiago in the direction of his quest. No one knows what the treasure is, or if Santiago will be able to surmount the obstacles along the way. But what starts out as a journey to find worldly goods turns into a discovery of the treasure found within. Lush, evocative, and deeply humane, the story of Santiago is an eternal testament to the transforming power of our dreams and the importance of listening to our hearts.
  ...more","/genres/fiction;/genres/classics;/genres/fantasy;/genres/philosophy","9,206 users;3,089 users;2,147 users;1,870 users"
"25","/book/show/375802.Ender_s_Game","Ender's Game (Ender's Saga, #1)","Orson Scott Card","Andrew ""Ender"" Wiggin thinks he is playing computer simulated war games; he is, in fact, engaged in something far more desperate. The result of genetic experimentation, Ender may be the military genius Earth desperately needs in a war against an alien enemy seeking to destroy all human life. The only way to find out is to throw Ender into ever harsher training, to chip awa
  Andrew ""Ender"" Wiggin thinks he is playing computer simulated war games; he is, in fact, engaged in something far more desperate. The result of genetic experimentation, Ender may be the military genius Earth desperately needs in a war against an alien enemy seeking to destroy all human life. The only way to find out is to throw Ender into ever harsher training, to chip away and find the diamond inside, or destroy him utterly. Ender Wiggin is six years old when it begins. He will grow up fast.But Ender is not the only result of the experiment. The war with the Buggers has been raging for a hundred years, and the quest for the perfect general has been underway almost as long. Ender's two older siblings, Peter and Valentine, are every bit as unusual as he is, but in very different ways. While Peter was too uncontrollably violent, Valentine very nearly lacks the capability for violence altogether. Neither was found suitable for the military's purpose. But they are driven by their jealousy of Ender, and by their inbred drive for power. Peter seeks to control the political process, to become a ruler. Valentine's abilities turn more toward the subtle control of the beliefs of commoner and elite alike, through powerfully convincing essays. Hiding their youth and identities behind the anonymity of the computer networks, these two begin working together to shape the destiny of Earth-an Earth that has no future at all if their brother Ender fails.~from author's web site
  ...more","/genres/science-fiction;/genres/fiction;/genres/young-adult;/genres/fantasy","12,723 users;5,791 users;3,893 users;2,304 users"
"26","/book/show/7144.Crime_and_Punishment","Crime and Punishment","Fyodor Dostoyevsky;David McDuff","Through the story of the brilliant but conflicted young Raskolnikov and the murder he commits, Fyodor Dostoevsky explores the theme of redemption through suffering. Crime and Punishment put Dostoevsky at the forefront of Russian writers when it appeared in 1866 and is now one of the most famous and influential novels in world literature.The poverty-stricken Raskolnikov, a
  Through the story of the brilliant but conflicted young Raskolnikov and the murder he commits, Fyodor Dostoevsky explores the theme of redemption through suffering. Crime and Punishment put Dostoevsky at the forefront of Russian writers when it appeared in 1866 and is now one of the most famous and influential novels in world literature.The poverty-stricken Raskolnikov, a talented student, devises a theory about extraordinary men being above the law, since in their brilliance they think “new thoughts” and so contribute to society. He then sets out to prove his theory by murdering a vile, cynical old pawnbroker and her sister. The act brings Raskolnikov into contact with his own buried conscience and with two characters — the deeply religious Sonia, who has endured great suffering, and Porfiry, the intelligent and discerning official who is charged with investigating the murder — both of whom compel Raskolnikov to feel the split in his nature. Dostoevsky provides readers with a suspenseful, penetrating psychological analysis that goes beyond the crime — which in the course of the novel demands drastic punishment — to reveal something about the human condition: The more we intellectualize, the more imprisoned we become.
  ...more","/genres/fiction;/genres/classics;/genres/literature;/genres/russia;/genres/novels;/genres/philosophy;/genres/crime;/genres/russian-literature;/genres/19th-century;/genres/classic-literature","5,407 users;1,806 users;1,349 users;785 users;678 users;598 users;533 users;504 users;428 users;350 users"
"27","/book/show/18619684-the-time-traveler-s-wife","The Time Traveler's Wife","Audrey Niffenegger","The Time Traveler’s Wife, one of the best romance books of all time, is now available as an eBook!Audrey Niffenegger's dazzling debut is the story of Clare, a beautiful, strong-minded art student, and Henry, an adventuresome librarian, who have known each other since Clare was six and Henry was thirty-six, and were married when Clare was twenty-three and Henry thirty-one.
  The Time Traveler’s Wife, one of the best romance books of all time, is now available as an eBook!Audrey Niffenegger's dazzling debut is the story of Clare, a beautiful, strong-minded art student, and Henry, an adventuresome librarian, who have known each other since Clare was six and Henry was thirty-six, and were married when Clare was twenty-three and Henry thirty-one. Impossible but true, because Henry is one of the first people diagnosed with Chrono-Displacement Disorder: his genetic clock randomly resets and he finds himself misplaced in time, pulled to moments of emotional gravity from his life, past and future. His disappearances are spontaneous and unpredictable, and lend a spectacular urgency to Clare and Henry's unconventional love story. That their attempt to live normal lives together is threatened by something they can neither prevent nor control makes their story intensely moving and entirely unforgettable.Plus, the long-awaited sequel to Audrey Niffenegger’s time-traveling love story is finally here!The ebook includes the first 25 pages of Niffeneger’s sequel featuring Henry and Clare’s daughter, Alba. Gifted with Clare’s beauty and Henry’s unique abilities, Alba finds herself caught between her real-time husband, Zach, and her other husband, Oliver, a fellow time-traveler and musician.Get your eBook today and dive into this classic romance novel. Find the rest of Audrey Niffenegger’s books here and more of the best love story books. Shop eBooks today!
  ...more","/genres/fiction;/genres/romance;/genres/fantasy;/genres/time-travel;/genres/science-fiction;/genres/contemporary","8,359 users;4,612 users;2,907 users;2,242 users;1,430 users;1,088 users"
"28","/book/show/256683.City_of_Bones","City of Bones (The Mortal Instruments, #1)","Cassandra Clare","When fifteen-year-old Clary Fray heads out to the Pandemonium Club in New York City, she hardly expects to witness a murder― much less a murder committed by three teenagers covered with strange tattoos and brandishing bizarre weapons. Then the body disappears into thin air. It's hard to call the police when the murderers are invisible to everyone else and when there is not
  When fifteen-year-old Clary Fray heads out to the Pandemonium Club in New York City, she hardly expects to witness a murder― much less a murder committed by three teenagers covered with strange tattoos and brandishing bizarre weapons. Then the body disappears into thin air. It's hard to call the police when the murderers are invisible to everyone else and when there is nothing―not even a smear of blood―to show that a boy has died. Or was he a boy?This is Clary's first meeting with the Shadowhunters, warriors dedicated to ridding the earth of demons. It's also her first encounter with Jace, a Shadowhunter who looks a little like an angel and acts a lot like a jerk. Within twenty-four hours Clary is pulled into Jace's world with a vengeance, when her mother disappears and Clary herself is attacked by a demon. But why would demons be interested in ordinary mundanes like Clary and her mother? And how did Clary suddenly get the Sight? The Shadowhunters would like to know... Exotic and gritty, exhilarating and utterly gripping, Cassandra Clare's ferociously entertaining fantasy takes readers on a wild ride that they will never want to end.
  ...more","/genres/young-adult;/genres/paranormal;/genres/romance;/genres/urban-fantasy;/genres/vampires;/genres/fiction","11,018 users;4,180 users;3,049 users;2,916 users;2,093 users;2,056 users"
"29","/book/show/24178.Charlotte_s_Web","Charlotte's Web","E.B. White;Garth Williams;Rosemary Wells","This beloved book by E. B. White, author of Stuart Little and The Trumpet of the Swan, is a classic of children's literature that is ""just about perfect.""Some Pig. Humble. Radiant. These are the words in Charlotte's Web, high up in Zuckerman's barn. Charlotte's spiderweb tells of her feelings for a little pig named Wilbur, who simply wants a friend. They also express the l
  This beloved book by E. B. White, author of Stuart Little and The Trumpet of the Swan, is a classic of children's literature that is ""just about perfect.""Some Pig. Humble. Radiant. These are the words in Charlotte's Web, high up in Zuckerman's barn. Charlotte's spiderweb tells of her feelings for a little pig named Wilbur, who simply wants a friend. They also express the love of a girl named Fern, who saved Wilbur's life when he was born the runt of his litter.E. B. White's Newbery Honor Book is a tender novel of friendship, love, life, and death that will continue to be enjoyed by generations to come. This edition contains color illustrations by Garth Williams, the acclaimed illustrator of E.B. White's Stuart Little and Laura Ingalls Wilder's Little House series, among many other books.Supports the Common Core State Standards
  ...more","/genres/classics;/genres/childrens;/genres/fiction","5,403 users;4,125 users;3,420 users"
"30","/book/show/4667024-the-help","The Help","Kathryn Stockett","Three ordinary women are about to take one extraordinary step. . . . Twenty-two-year-old Skeeter has just returned home after graduating from Ole Miss. She may have a degree, but it is 1962, Mississippi, and her mother will not be happy till Skeeter has a ring on her finger. Skeeter would normally find solace with her beloved maid Constantine, the woman who raised her, bu
  
  Three ordinary women are about to take one extraordinary step. . . .
Twenty-two-year-old Skeeter has just returned home after graduating from Ole Miss. She may have a degree, but it is 1962, Mississippi, and her mother will not be happy till Skeeter has a ring on her finger. Skeeter would normally find solace with her beloved maid Constantine, the woman who raised her, but Constantine has disappeared and no one will tell Skeeter where she has gone.Aibileen is a black maid, a wise, regal woman raising her seventeenth white child. Something has shifted inside her after the loss of her own son, who died while his bosses looked the other way. She is devoted to the little girl she looks after, though she knows both their hearts may be broken.Minny, Aibileen's best friend, is short, fat, and perhaps the sassiest woman in Mississippi. She can cook like nobody's business, but she can't mind her tongue, so she's lost yet another job. Minny finally finds a position working for someone too new to town to know her reputation. But her new boss has secrets of her own.Seemingly as different from one another as can be, these women will nonetheless come together for a clandestine project that will put them all at risk. And why? Because they are suffocating within the lines that define their town and their times. And sometimes lines are made to be crossed.In pitch-perfect voices, Kathryn Stockett creates three extraordinary women whose determination to start a movement of their own forever changes a town, and the way women--mothers, daughters, caregivers, friends--view one another. A deeply moving novel filled with poignancy, humor, and hope, The Help is a timeless and universal story about the lines we abide by, and the ones we don't.
  ...more","/genres/fiction;/genres/historical-fiction;/genres/historical;/genres/adult","9,567 users;8,032 users;1,705 users;1,097 users"
"31","/book/show/22628.The_Perks_of_Being_A_Wallflower","The Perks of Being A Wallflower","Stephen Chbosky","Read the cult-favorite coming of age story that takes a sometimes heartbreaking, often hysterical, and always honest look at high school in all its glory. Now a major motion picture starring Logan Lerman and Emma Watson, The Perks of Being a Wallflower is a funny, touching, and haunting modern classic.The critically acclaimed debut novel from Stephen Chbosky, Perks follows
  Read the cult-favorite coming of age story that takes a sometimes heartbreaking, often hysterical, and always honest look at high school in all its glory. Now a major motion picture starring Logan Lerman and Emma Watson, The Perks of Being a Wallflower is a funny, touching, and haunting modern classic.The critically acclaimed debut novel from Stephen Chbosky, Perks follows observant “wallflower” Charlie as he charts a course through the strange world between adolescence and adulthood. First dates, family drama, and new friends. Sex, drugs, and The Rocky Horror Picture Show. Devastating loss, young love, and life on the fringes. Caught between trying to live his life and trying to run from it, Charlie must learn to navigate those wild and poignant roller-coaster days known as growing up.--simonandschuster.com
  ...more","/genres/fiction;/genres/young-adult;/genres/contemporary;/genres/coming-of-age;/genres/realistic-fiction","5,170 users;4,105 users;2,878 users;1,239 users;1,108 users"
"32","/book/show/8127.Anne_of_Green_Gables","Anne of Green Gables (Anne of Green Gables, #1)","L.M. Montgomery","Everyone's favorite redhead, the spunky Anne Shirley, begins her adventures at Green Gables, a farm outside Avonlea, Prince Edward Island. When the freckled girl realizes that the elderly Cuthberts wanted to adopt a boy instead, she begins to try to win them and, consequently, the reader, over.","/genres/classics;/genres/fiction;/genres/young-adult;/genres/childrens;/genres/historical-fiction;/genres/historical;/genres/canada;/genres/coming-of-age;/genres/middle-grade;/genres/audiobook","8,542 users;3,291 users;2,779 users;1,631 users;1,290 users;517 users;438 users;294 users;285 users;252 users"
"33","/book/show/890.Of_Mice_and_Men","Of Mice and Men","John Steinbeck","The compelling story of two outsiders striving to find their place in an unforgiving world. Drifters in search of work, George and his simple-minded friend Lennie have nothing in the world except each other and a dream--a dream that one day they will have some land of their own. Eventually they find work on a ranch in California’s Salinas Valley, but their hopes are doomed
  The compelling story of two outsiders striving to find their place in an unforgiving world. Drifters in search of work, George and his simple-minded friend Lennie have nothing in the world except each other and a dream--a dream that one day they will have some land of their own. Eventually they find work on a ranch in California’s Salinas Valley, but their hopes are doomed as Lennie, struggling against extreme cruelty, misunderstanding and feelings of jealousy, becomes a victim of his own strength. Tackling universal themes such as the friendship of a shared vision, and giving voice to America’s lonely and dispossessed, Of Mice and Men has proved one of Steinbeck’s most popular works, achieving success as a novel, a Broadway play and three acclaimed films.
  ...more","/genres/classics;/genres/fiction;/genres/school;/genres/literature;/genres/read-for-school;/genres/novels;/genres/american","16,368 users;9,028 users;1,977 users;1,648 users;902 users;752 users;675 users"
"34","/book/show/4671.The_Great_Gatsby","The Great Gatsby","F. Scott Fitzgerald","THE GREAT GATSBY, F. Scott Fitzgerald’s third book, stands as the supreme achievement of his career. This exemplary novel of the Jazz Age has been acclaimed by generations of readers. The story of the fabulously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan, of lavish parties on Long Island at a time when The New York Times noted “gin was the national dr
  THE GREAT GATSBY, F. Scott Fitzgerald’s third book, stands as the supreme achievement of his career. This exemplary novel of the Jazz Age has been acclaimed by generations of readers. The story of the fabulously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan, of lavish parties on Long Island at a time when The New York Times noted “gin was the national drink and sex the national obsession,” it is an exquisitely crafted tale of America in the 1920s.The Great Gatsby is one of the great classics of twentieth-century literature.
  ...more","/genres/classics;/genres/literature;/genres/school;/genres/historical-fiction;/genres/romance","31,341 users;2,623 users;2,562 users;2,288 users;1,981 users"
"35","/book/show/17245.Dracula","Dracula","Bram Stoker;Nina Auerbach;David J. Skal","You can find an alternative cover edition for this ISBN here.A rich selection of background and source materials is provided in three areas: Contexts includes probable inspirations for Dracula in the earlier works of James Malcolm Rymer and Emily Gerard. Also included are a discussion of Stoker's working notes for the novel and ""Dracula's Guest,"" the original opening chapt
  You can find an alternative cover edition for this ISBN here.A rich selection of background and source materials is provided in three areas: Contexts includes probable inspirations for Dracula in the earlier works of James Malcolm Rymer and Emily Gerard. Also included are a discussion of Stoker's working notes for the novel and ""Dracula's Guest,"" the original opening chapter to Dracula. Reviews and Reactions reprints five early reviews of the novel. ""Dramatic and Film Variations"" focuses on theater and film adaptations of Dracula, two indications of the novel's unwavering appeal. David J. Skal, Gregory A. Waller, and Nina Auerbach offer their varied perspectives. Checklists of both dramatic and film adaptations are included.Criticism collects seven theoretical interpretations of Dracula by Phyllis A. Roth, Carol A. Senf, Franco Moretti, Christopher Craft, Bram Dijsktra, Stephen D. Arata, and Talia Schaffer.A Chronology and a Selected Bibliography are included.
  ...more","/genres/classics;/genres/horror;/genres/fiction;/genres/fantasy;/genres/vampires","14,131 users;7,624 users;4,913 users;3,216 users;2,520 users"
"36","/book/show/5129.Brave_New_World","Brave New World","Aldous Huxley","Far in the future, the World Controllers have created the ideal society. Through clever use of genetic engineering, brainwashing and recreational sex and drugs, all its members are happy consumers. Bernard Marx seems alone harbouring an ill-defined longing to break free. A visit to one of the few remaining Savage Reservations, where the old, imperfect life still continues,
  Far in the future, the World Controllers have created the ideal society. Through clever use of genetic engineering, brainwashing and recreational sex and drugs, all its members are happy consumers. Bernard Marx seems alone harbouring an ill-defined longing to break free. A visit to one of the few remaining Savage Reservations, where the old, imperfect life still continues, may be the cure for his distress...Huxley's ingenious fantasy of the future sheds a blazing light on the present and is considered to be his most enduring masterpiece.
  ...more","/genres/classics;/genres/fiction;/genres/science-fiction;/genres/dystopia","12,212 users;9,053 users;6,828 users;4,393 users"
"37","/book/show/320.One_Hundred_Years_of_Solitude","One Hundred Years of Solitude","Gabriel García Márquez;Gregory Rabassa","One of the 20th century's enduring works, One Hundred Years of Solitude is a widely beloved and acclaimed novel known throughout the world, and the ultimate achievement of a Nobel Prize winning career.The novel tells the story of the rise and fall of the mythical town of Macondo through the history of the family. It is a rich and brilliant chronicle of life and death, and
  One of the 20th century's enduring works, One Hundred Years of Solitude is a widely beloved and acclaimed novel known throughout the world, and the ultimate achievement of a Nobel Prize winning career.The novel tells the story of the rise and fall of the mythical town of Macondo through the history of the family. It is a rich and brilliant chronicle of life and death, and the tragicomedy of humankind. In the noble, ridiculous, beautiful, and tawdry story of the family, one sees all of humanity, just as in the history, myths, growth, and decay of Macondo, one sees all of Latin America.Love and lust, war and revolution, riches and poverty, youth and senility -- the variety of life, the endlessness of death, the search for peace and truth -- these universal themes dominate the novel. Whether he is describing an affair of passion or the voracity of capitalism and the corruption of government, Gabriel Garcia Marquez always writes with the simplicity, ease, and purity that are the mark of a master.Alternately reverential and comical, One Hundred Years of Solitude weaves the political, personal, and spiritual to bring a new consciousness to storytelling. Translated into dozens of languages, this stunning work is no less than an accounting of the history of the human race.
  ...more","/genres/fiction;/genres/classics;/genres/magical-realism;/genres/literature;/genres/novels","6,715 users;5,256 users;1,801 users;1,129 users;858 users"
"38","/book/show/21787.The_Princess_Bride","The Princess Bride","William Goldman","What happens when the most beautiful girl in the world marries the handsomest prince of all time and he turns out to be...well...a lot less than the man of her dreams?As a boy, William Goldman claims, he loved to hear his father read the S. Morgenstern classic, The Princess Bride. But as a grown-up he discovered that the boring parts were left out of good old Dad's recitat
  What happens when the most beautiful girl in the world marries the handsomest prince of all time and he turns out to be...well...a lot less than the man of her dreams?As a boy, William Goldman claims, he loved to hear his father read the S. Morgenstern classic, The Princess Bride. But as a grown-up he discovered that the boring parts were left out of good old Dad's recitation, and only the ""good parts"" reached his ears.Now Goldman does Dad one better. He's reconstructed the ""Good Parts Version"" to delight wise kids and wide-eyed grownups everywhere.What's it about? Fencing. Fighting. True Love. Strong Hate. Harsh Revenge. A Few Giants. Lots of Bad Men. Lots of Good Men. Five or Six Beautiful Women. Beasties Monstrous and Gentle. Some Swell Escapes and Captures. Death, Lies, Truth, Miracles, and a Little Sex.In short, it's about everything.
  ...more","/genres/fantasy;/genres/fiction;/genres/classics;/genres/romance;/genres/humor;/genres/adventure;/genres/young-adult","11,592 users;4,183 users;3,930 users;2,476 users;1,362 users;1,211 users;1,152 users"
"39","/book/show/18131.A_Wrinkle_in_Time","A Wrinkle in Time (A Wrinkle in Time Quintet, #1)","Madeleine L'Engle","It was a dark and stormy night; Meg Murry, her small brother Charles Wallace, and her mother had come down to the kitchen for a midnight snack when they were upset by the arrival of a most disturbing stranger. ""Wild nights are my glory,"" the unearthly stranger told them. ""I just got caught in a downdraft and blown off course. Let me be on my way. Speaking of way, by the wa
  It was a dark and stormy night; Meg Murry, her small brother Charles Wallace, and her mother had come down to the kitchen for a midnight snack when they were upset by the arrival of a most disturbing stranger. ""Wild nights are my glory,"" the unearthly stranger told them. ""I just got caught in a downdraft and blown off course. Let me be on my way. Speaking of way, by the way, there is such a thing as a tesseract"".Meg's father had been experimenting with this fifth dimension of time travel when he mysteriously disappeared. Now the time has come for Meg, her friend Calvin, and Charles Wallace to rescue him. But can they outwit the forces of evil they will encounter on their heart-stopping journey through space?
  ...more","/genres/fantasy;/genres/young-adult;/genres/fiction;/genres/classics;/genres/science-fiction;/genres/childrens","8,479 users;4,484 users;4,133 users;3,643 users;3,297 users;2,055 users"
"40","/book/show/2998.The_Secret_Garden","The Secret Garden","Frances Hodgson Burnett","When orphaned Mary Lennox comes to live at her uncle's great house on the Yorkshire Moors, she finds it full of secrets. The mansion has nearly one hundred rooms, and her uncle keeps himself locked up. And at night, she hears the sound of crying down one of the long corridors.The gardens surrounding the large property are Mary's only escape. Then, Mary discovers a secret g
  When orphaned Mary Lennox comes to live at her uncle's great house on the Yorkshire Moors, she finds it full of secrets. The mansion has nearly one hundred rooms, and her uncle keeps himself locked up. And at night, she hears the sound of crying down one of the long corridors.The gardens surrounding the large property are Mary's only escape. Then, Mary discovers a secret garden, surrounded by walls and locked with a missing key. One day, with the help of two unexpected companions, she discovers a way in. Is everything in the garden dead, or can Mary bring it back to life?
  ...more","/genres/classics;/genres/fiction;/genres/childrens;/genres/young-adult;/genres/historical-fiction;/genres/literature;/genres/middle-grade;/genres/fantasy;/genres/historical;/genres/juvenile","11,707 users;3,713 users;2,587 users;1,747 users;832 users;381 users;371 users;368 users;345 users;267 users"
"41","/book/show/128029.A_Thousand_Splendid_Suns","A Thousand Splendid Suns","Khaled Hosseini","Born a generation apart and with very different ideas about love and family, Mariam and Laila are two women brought jarringly together by war, by loss and by fate. As they endure the ever escalating dangers around them—in their home as well as in the streets of Kabul—they come to form a bond that makes them both sisters and mother-daughter to each other, and that will ulti
  Born a generation apart and with very different ideas about love and family, Mariam and Laila are two women brought jarringly together by war, by loss and by fate. As they endure the ever escalating dangers around them—in their home as well as in the streets of Kabul—they come to form a bond that makes them both sisters and mother-daughter to each other, and that will ultimately alter the course not just of their own lives but of the next generation.
  ...more","/genres/fiction;/genres/historical-fiction;/genres/contemporary","6,431 users;2,591 users;756 users"
"42","/book/show/5107.The_Catcher_in_the_Rye","The Catcher in the Rye","J.D. Salinger","The hero-narrator of The Catcher in the Rye is an ancient child of sixteen, a native New Yorker named Holden Caulfield. Through circumstances that tend to preclude adult, secondhand description, he leaves his prep school in Pennsylvania and goes underground in New York City for three days. The boy himself is at once too simple and too complex for us to make any final comme
  The hero-narrator of The Catcher in the Rye is an ancient child of sixteen, a native New Yorker named Holden Caulfield. Through circumstances that tend to preclude adult, secondhand description, he leaves his prep school in Pennsylvania and goes underground in New York City for three days. The boy himself is at once too simple and too complex for us to make any final comment about him or his story. Perhaps the safest thing we can say about Holden is that he was born in the world not just strongly attracted to beauty but, almost, hopelessly impaled on it. There are many voices in this novel: children's voices, adult voices, underground voices-but Holden's voice is the most eloquent of all. Transcending his own vernacular, yet remaining marvelously faithful to it, he issues a perfectly articulated cry of mixed pain and pleasure. However, like most lovers and clowns and poets of the higher orders, he keeps most of the pain to, and for, himself. The pleasure he gives away, or sets aside, with all his heart. It is there for the reader who can handle it to keep. J.D. Salinger's classic novel of teenage angst and rebellion was first published in 1951. The novel was included on Time's 2005 list of the 100 best English-language novels written since 1923. It was named by Modern Library and its readers as one of the 100 best English-language novels of the 20th century. It has been frequently challenged in the court for its liberal use of profanity and portrayal of sexuality and in the 1950's and 60's it was the novel that every teenage boy wants to read.
  ...more","/genres/classics;/genres/fiction;/genres/young-adult;/genres/literature;/genres/school;/genres/novels;/genres/coming-of-age;/genres/american;/genres/high-school;/genres/read-for-school","22,118 users;12,944 users;3,115 users;2,120 users;1,582 users;1,225 users;1,096 users;832 users;768 users;660 users"
"43","/book/show/157993.The_Little_Prince","The Little Prince","Antoine de Saint-Exupéry;Richard Howard","Moral allegory and spiritual autobiography, The Little Prince is the most translated book in the French language. With a timeless charm it tells the story of a little boy who leaves the safety of his own tiny planet to travel the universe, learning the vagaries of adult behaviour through a series of extraordinary encounters. His personal odyssey culminates in a voyage to E
  Moral allegory and spiritual autobiography, The Little Prince is the most translated book in the French language. With a timeless charm it tells the story of a little boy who leaves the safety of his own tiny planet to travel the universe, learning the vagaries of adult behaviour through a series of extraordinary encounters. His personal odyssey culminates in a voyage to Earth and further adventures.
  ...more","/genres/classics;/genres/fiction;/genres/fantasy;/genres/childrens;/genres/france","8,113 users;4,927 users;3,518 users;2,552 users;1,500 users"
"44","/book/show/2956.The_Adventures_of_Huckleberry_Finn","The Adventures of Huckleberry Finn","Mark Twain;John Seelye;Guy Cardwell","Of all the contenders for the title of The Great American Novel, none has a better claim than The Adventures of Huckleberry Finn. Intended at first as a simple story of a boy's adventures in the Mississippi Valley - a sequel to The Adventures of Tom Sawyer - the book grew and matured under Twain's hand into a work of immeasurable richness and complexity. More than a centur
  Of all the contenders for the title of The Great American Novel, none has a better claim than The Adventures of Huckleberry Finn. Intended at first as a simple story of a boy's adventures in the Mississippi Valley - a sequel to The Adventures of Tom Sawyer - the book grew and matured under Twain's hand into a work of immeasurable richness and complexity. More than a century after its publication, the critical debate over the symbolic significance of Huck's and Jim's voyage is still fresh, and it remains a major work that can be enjoyed at many levels: as an incomparable adventure story and as a classic of American humor.
  ...more","/genres/fiction;/genres/classics;/genres/historical-fiction;/genres/literature;/genres/young-adult;/genres/adventure;/genres/school;/genres/novels;/genres/american;/genres/read-for-school","7,270 users;3,142 users;1,455 users;1,370 users;1,350 users;1,245 users;1,178 users;629 users;560 users;555 users"
"45","/book/show/12232938-the-lovely-bones","The Lovely Bones","Alice Sebold","The Lovely Bones is the story of a family devastated by a gruesome murder -- a murder recounted by the teenage victim. Upsetting, you say? Remarkably, first-time novelist Alice Sebold takes this difficult material and delivers a compelling and accomplished exploration of a fractured family's need for peace and closure.The details of the crime are laid out in the first few
  The Lovely Bones is the story of a family devastated by a gruesome murder -- a murder recounted by the teenage victim. Upsetting, you say? Remarkably, first-time novelist Alice Sebold takes this difficult material and delivers a compelling and accomplished exploration of a fractured family's need for peace and closure.The details of the crime are laid out in the first few pages: from her vantage point in heaven, Susie Salmon describes how she was confronted by the murderer one December afternoon on her way home from school. Lured into an underground hiding place, she was raped and killed. But what the reader knows, her family does not. Anxiously, we keep vigil with Susie, aching for her grieving family, desperate for the killer to be found and punished.Sebold creates a heaven that's calm and comforting, a place whose residents can have whatever they enjoyed when they were alive -- and then some. But Susie isn't ready to release her hold on life just yet, and she intensely watches her family and friends as they struggle to cope with a reality in which she is no longer a part. To her great credit, Sebold has shaped one of the most loving and sympathetic fathers in contemporary literature.
  ...more","/genres/fiction;/genres/mystery;/genres/young-adult;/genres/contemporary;/genres/fantasy","8,261 users;2,424 users;1,586 users;1,226 users;1,010 users"
"46","/book/show/19543.Where_the_Wild_Things_Are","Where the Wild Things Are","Maurice Sendak","One night Max puts on his wolf suit and makes mischief of one kind and another, so his mother calls him 'Wild Thing' and sends him to bed without his supper. That night a forest begins to grow in Max's room and an ocean rushes by with a boat to take Max to the place where the wild things are. Max tames the wild things and crowns himself as their king, and then the wild rum
  One night Max puts on his wolf suit and makes mischief of one kind and another, so his mother calls him 'Wild Thing' and sends him to bed without his supper. That night a forest begins to grow in Max's room and an ocean rushes by with a boat to take Max to the place where the wild things are. Max tames the wild things and crowns himself as their king, and then the wild rumpus begins. But when Max has sent the monsters to bed, and everything is quiet, he starts to feel lonely and realises it is time to sail home to the place where someone loves him best of all.
  ...more","/genres/childrens;/genres/picture-books;/genres/fiction;/genres/classics;/genres/fantasy","3,409 users;2,721 users;1,562 users;1,498 users;1,463 users"
"47","/book/show/23772.Green_Eggs_and_Ham","Green Eggs and Ham","Dr. Seuss","“Do you like green eggs and ham?” asks Sam-I-am in this Beginner Book by Dr. Seuss. In a house or with a mouse? In a boat or with a goat? On a train or in a tree? Sam keeps asking persistently. With unmistakable characters and signature rhymes, Dr. Seuss’s beloved favorite has cemented its place as a children’s classic. In this most famous of cumulative tales, the list of
  “Do you like green eggs and ham?” asks Sam-I-am in this Beginner Book by Dr. Seuss. In a house or with a mouse? In a boat or with a goat? On a train or in a tree? Sam keeps asking persistently. With unmistakable characters and signature rhymes, Dr. Seuss’s beloved favorite has cemented its place as a children’s classic. In this most famous of cumulative tales, the list of places to enjoy green eggs and ham, and friends to enjoy them with, gets longer and longer. Follow Sam-I-am as he insists that this unusual treat is indeed a delectable snack to be savored everywhere and in every way. Originally created by Dr. Seuss, Beginner Books encourage children to read all by themselves, with simple words and illustrations that give clues to their meaning.
  ...more","/genres/childrens;/genres/picture-books;/genres/classics;/genres/fiction;/genres/poetry;/genres/humor;/genres/fantasy;/genres/kids;/genres/food;/genres/young-adult","3,113 users;1,756 users;1,248 users;1,174 users;535 users;260 users;249 users;166 users;139 users;116 users"
